evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
ASISTENCIA AL CURSO BRINDADO POR EL OIEA ¨TN-RLA5092-2400288: REGIONAL TRAINING COURSE ON DESIGNING AEDES POPULATION SUPPRESSION TRIALS FOR STERILE INSECT TECHNIQUE (SIT) VALIDATION¨;URUGUAY;GARCIA ALBA MARIANELA;INVESTIGADOR;Comisión Nacional de Energía Atómica;OIEA;2024-06-23;2024-06-29
“DEMOSTRACIÓN REGIONAL PILOTO EN EL MARCO DEL PROYECTO TEST BIOFOULING Y TALLER DE MUJERES LATINOAMERICANAS EN EL SECTOR MARÍTIMO - GESTIÓN DE INCRUSTACIONES BIOLÓGICAS”.;PANAMÁ;ABELANDO MARIANA;OFICIAL DE LA DIVISION INVESTIGACION CIENTIFICA;Prefectura Naval Argentina;MARITIME TECHNOLOGY CORPORATION CENTRE - CARIBBEAN;2024-07-06;2024-07-14
IZS y FAO;ITALIA;Saucedo Ricardo Marcelo;Lider de Proyectos;Servicio Nacional de Sanidad y Calidad Agroalimentaria;Banco Mundial;2024-07-07;2024-07-18
Taller Design Evaluation Process Outline (DEPO) Descripción sobre la Evaluación del Proceso de Diseño.;ESTADOS UNIDOS;Navaridas Gonzalo Agustín;Especialista en Seguridad Fisica Nuclear;Gerencia de Área de Coordinación Operativa y Administrativa;Departamento de Energia;2024-07-06;2024-07-21
Government Analytics Fellowship;ESTADOS UNIDOS;BELBIS JUAN IGNACIO;DIRECTOR;Jefatura de Gabinete de Ministros;World Bank Group;2024-05-26;2024-06-07
"""Presentación de los resultados de la segunda edición del Índice de Políticas Públicas para Mipymes en América Latina y el Caribe (IPPALC)"". -";CHILE;LAVILLOTTI Darío;Coordinador de Regulación Pyme;Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento;Secretaría Permanente del Sistema Económico Latinoamericano y del Caribe (SELA);2024-07-03;2024-07-05
"""Presentación de los resultados de la segunda edición del Índice de Políticas Públicas para Mipymes en América Latina y el Caribe (IPPALC)"". -";CHILE;VAZQUEZ Pilar;Directora del Régimen de Sociedades de Garantía Recíproca;Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento;Secretaría Permanente del Sistema Económico Latinoamericano y del Caribe (SELA);2024-07-03;2024-07-05
“DEMOSTRACIÓN REGIONAL PILOTO EN EL MARCO DEL PROYECTO TEST BIOFOULING Y TALLER DE MUJERES LATINOAMERICANAS EN EL SECTOR MARÍTIMO - GESTIÓN DE INCRUSTACIONES BIOLÓGICAS”.;PANAMÁ;Trigo Alicia Verónica;oficial de la División Investigación Cientifica;Prefectura Naval Argentina;Comision Permanente del Pacífico Sur - CPPS;2024-07-08;2024-07-14
Estadia;ESPAÑA;ALURRALDE Martin Alejo;INVESTIGADOR;Comisión Nacional de Energía Atómica;EUROPEAN COMMISSION;2024-05-08;2024-07-01
Taller de Salud Mental y Reunión del Comité Ad Hoc de Salud Mental;PARAGUAY;GONZALEZ LILIANA GRACIELA;Directora Nacional de Abordaje Integral de Salud Mental y Consumos Problemáticos;MINISTERIO DE SALUD;Organización Mundial de la Salud/Organización Mundial de la Salud;2024-06-10;2024-06-13
Misión en Instituto de Investigación;ESPAÑA;DI NAPOLI SOLANGE;Investigadora;Comisión Nacional de Energía Atómica;Marie Sklodowska-Curie Research and Innovation Staff Exchange (RISE);2024-06-16;2024-07-16
Global CBPR Forum;JAPÓN;Dozo Anastasia;Directora;Agencia de Acceso a la Información Pública;Agencia de los Estados Unidos para el Desarrollo Internacional (USAID), PPC y METI;2024-05-11;2024-05-19
CONFERENCIA INTERNACIONAL DE MAGNETISMO - (ICM2024);ITALIA;WINKLER Elin Lilian;Investigador;Comisión Nacional de Energía Atómica;UNION EUROPEA;2024-06-12;2024-07-15
"""Encuentro iberoamericano de Protección de Datos”";PERÚ;PAULERO VIOLETA;Directora Nacional de Protección de Datos;Agencia de Acceso a la Información Pública;RIPD - La Red Iberoamericana de Protección de Datos;2024-03-31;2024-04-04
Seminario en flujos transfronterizos de datos iniciativa para comercio internacional seguro de confianza;URUGUAY;DE ANCHORENA BEATRIZ;Titular Agencia de Acceso a la Información;Agencia de Acceso a la Información Pública;Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas (FIIAPP);2024-04-24;2024-04-27
46° reunión del Comité Consultivo del Convenio 108 del Consejo de Europa;FRANCIA;DE ANCHORENA BEATRIZ;Titular Agencia de Acceso a la Información;Agencia de Acceso a la Información Pública;COE - Consejo de Europa;2024-06-03;2024-06-07
“DEMOSTRACIÓN REGIONAL PILOTO EN EL MARCO DEL PROYECTO TEST BIOFOULING Y TALLER DE MUJERES LATINOAMERICANAS EN EL SECTOR MARÍTIMO - GESTIÓN DE INCRUSTACIONES BIOLÓGICAS”.;PANAMÁ;Riviello López Gabriela;oficial de la División Investigación Cientifica;Prefectura Naval Argentina;Maritime Technology Cooperation Centre-Caribbean;2024-07-06;2024-07-14
"3ra Reunión de Coordinación del Proyecto ""Caracterización de Combustibles Gastados""";REINO UNIDO;LINARDI EVELINA MARIA;Investigadora;Comisión Nacional de Energía Atómica;OIEA - Organismo Internacional de Energía Atómica;2024-06-29;2024-07-07
TALLER REGIONAL DE FORTALECIMIENTO DE CAPACIDADES PARA LA DETECCION Y REPORTE DE BROTES DE ENFERMEDADES ZOONOTICAS;PERÚ;ERREQUET PAULA MARIAN;PROFESIONAL VETERINARIO OPERATIVO;Dirección de Ejecución Sanitaria y Control de Gestión;HEALTH SECURITY PARTNERS (HSP);2024-07-02;2024-07-06
Congreso Internacional sobre Terapia por Captura neutronica;POLONIA;Kreiner Andres Juan;Subgerente;MEC;Sociedad Internacional para la Terapia por Captura Neutronica;2024-06-21;2024-06-30
Reunión de Consultoría para Preparar la Primera Reunión de Coordinación de Investigación sobre el Estandarización de muestras de tamaño reducido para el examen posterior a la irradiación y caracterización avanzada de combustible y materiales estructu;AUSTRIA;BERGANT Marcos Antonio;Investigador;Gerencia de Área Investigación, Desarrollo e Innovación;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA) );2024-06-14;2024-06-26
Curso de tumores cerebrales;ESTADOS UNIDOS;Arias Alberto Guillermo;Médico-Becario;Comisión Nacional de Energía Atómica;COLDSPRING HARBOR LABORATORY;2024-06-19;2024-07-04
CURSO DE SEGURIDAD Y PLANIFICACION TACTICA;EL SALVADOR;ESCALANTE PABLO HERNAN;JEFE DE DELEGACIÓN DE INTELIGENCIA CRIMINAL E INVESTIGACIONES DE LA PREFECTURA VILLA PARANACITO;Prefectura Naval Argentina;US EMBASSY -BS AS;2024-06-16;2024-07-01
"ENCUENTRO REGIONAL PROGRAMA EUROFRONT ""Una mirada inclusiva: la igualdad de género como derecho fundamental"".";CHILE;PETROVICH MARIA LORENA;DIRECTORA;Ministerio de Seguridad;Programa Eurofront;2024-06-25;2024-06-27
OSINT;PARAGUAY;TORTEROLO NAÓN JORGE DANIEL;FURRIEL;Prefectura Naval Argentina;FEDERAL BUREAU OF INVESTIGATION (FBI);2024-06-22;2024-06-29
Proyecto MAMBA;ESPAÑA;BERTOLO ALMA;INVESTIGADORA;Comisión Nacional de Energía Atómica;Agencia Ejecutiva de Investigación de la Comisión Europea;2024-04-22;2024-06-22
Estadía científica;ESPAÑA;del GROSSO Mariela Fernanda;Jefe de División;Comisión Nacional de Energía Atómica;Agencia Ejecutiva de Investigación de la Unión Europea;2024-04-22;2024-06-22
Taller VOLCEX y Taller de Vigilancia de los Volcanes en las aerovías internacionales;PERÚ;Diaz Juan Augusto;Especialista de Aplicación Científica con orientación en Pronóstico del Tiempo y Avisos;Servicio Meteorológico Nacional;Organización de Aviación Civil Internacional (OACI);2024-06-16;2024-06-21
Tercera reunión de coordinación de investigaciones sobre tecnologías basadas en radiación para el tratamiento de contaminantes orgánicos emergentes;AUSTRIA;Vogt María Verónica;Jefa Departamento Procesos por Radiación;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-06-22;2024-06-30
TERCER TALLER DE CAPACITACIÓN SOBRE VALIDACIÓN DE MÉTODOS Y CONTROL DE CALIDAD PARA LABORATORIOS DE FLUORESCENCIA DE RAYOS X QUE PARTICIPAN EN ENSAYOS DE APTITUD;AUSTRIA;Cerutti Gabriela Lujan;agente;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-06-08;2024-06-15
Taller sobre Supervisión de los mercados de capitales en Iberoamérica: Innovación tecnológica y transformación digital interna de los Organismos de Supervisión;URUGUAY;Boedo Patricia Noemí;Vicepresidente;Administración Pública Nacional;El IIMV financia el aero/AECID su alojamiento;2024-06-10;2024-06-13
Taller VOLCEX y Taller de Vigilancia de los Volcanes en las aerovías internacionales;PERÚ;Vasques Ferro Roxana;Directora de Meteorología Aeronáutica;Servicio Meteorológico Nacional;Organización de Aviación Civil Internacional (OACI);2024-06-16;2024-06-21
"5º REUNIÓN ANUAL FINTECHLAC ""EL FUTURO DE LAS INCLUSIÓN FINANCIERA DIGITAL EN AMÉRICAC LATINA Y EL CARIBE"" y Reunión Privada del Comité Ejecutivo";COLOMBIA;Silva Roberto;Presidente;APN;BANCO INTERAMERICANO DE DESAROLLO;2024-06-19;2024-06-22
Reunión del grupo Ad Hoc de la OMSA para el desarrollo de estándares en gestión de emergencias;FRANCIA;Ramos Mariano Pablo;Técnico Profesional;Servicio Nacional de Sanidad y Calidad Agroalimentaria;Organización Mundial de Sanidad Animal;2024-06-08;2024-06-15
Impact Evaluation Design Week 2024;PANAMÁ;Amendolaggine Julián;Director Nacional de Financiamiento con Organismos Internacionales de Crédito;MINISTERIO DE ECONOMÍA;Banco Interamericano de Desarrollo - BID;2024-06-10;2024-06-15
Reunión de coordinación de mitad de período ME-RLA1020-2401543;PERÚ;Vogt María Verónica;Jefa Departamento Procesos por Radiación;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-06-09;2024-06-15
STUDY TOUR CROACIA: AMPLIACION DE LA JORNADA ESCOLAR Y LECCIONES APRENDIDAS PARA REINVENTAR EL AULA EN AMERICA LATINA Y EL CARIBE;CROACIA;TORRENDELL Carlos Horacio;Secretario de Educación;Secretaría de Educación;Banco Interamericano de Desarrollo;2024-06-15;2024-06-19
Reunión de Coordinación Regional de Medio Término RLA1020;PERÚ;Cingolani Maria Celeste;Investigador;CNEA#MEC;Organismo Internacional de Energía Atómica;2024-06-09;2024-06-15
Reunion de Asesores SIELAC;CUBA;RONCO PABLO OSVALDO;Asesor;ME;OLADE;2024-06-11;2024-06-14
VISITA PROTOCOLAR A LAS INSTALACIONES DE LOS ASTILLEROS DE LA EMPRESA WESTON.;NORUEGA;FILOMATORI LEONARDO JAVIER;JEFE DEPARTAMENTO SEGURIDAD AMBIENTAL DE LA NAVEGACIÓN;Prefectura Naval Argentina;EMPRESA ESTREMAR S.A.;2024-06-06;2024-06-16
LXI Junta de Expertos;CUBA;Beljansky Mariela;Subsecretaria;Ministerio de Hacienda y Finanzas Públicas;Olade- con recursos de La Unión Europea;2024-06-11;2024-06-15
"Panelista en el evento ""4° Congreso Anual del Hidrógeno para América Latina y el Caribe (H2LAC)";CHILE;Beljansky Mariela;Subsecretaria;Ministerio de Hacienda y Finanzas Públicas;Banco Interamericano de Desarrollo, el Banco Mundial, el Banco Europeo de Inversiones y el Banco de Desarrollo CAF;2024-06-04;2024-06-07
"""Tercera reunión del Grupo de Arquitectura Financiera Internacional de G20 bajo la presidencia brasileña"".";BRASIL;Pinkasz Juan;Se desempeña en la Subsecretaría de Coordinación y Gestión Internacional (consultor 1 - contrato 1109);Ministerio de Economía;MEC;2024-06-09;2024-06-13
Programa de Entrenamiento en Métodos de Muestreo y Análisis - Curso de Formación sobre Residuos de Productos Fitosanitarios;POLONIA;Campos Mariana Monica;Analista Profesional;Dirección General de Laboratorios y Control Técnico;Programa Better Training for Safer Food (BTSF) de la Unión Europea;2024-05-11;2024-05-25
Asistir, en representación del Ministerio de Economía, a la 60° Reunión de los Órganos Subsidiarios de la Convención Marco de Naciones Unidas para el Cambio Climático que se realizará en la ciudad de Bonn Alemania del 3 al 13 de junio de 2024. Se est;ALEMANIA;Pelliza María José;Consultor 1 (Contrato de Locación de Servicios);Ministerio de Economía;PNUD;2024-06-08;2024-06-15
X Congreso Nacional e Internacional de Derecho Administrativo de la Asociación Peruana de Derecho Administrativo y la UCSM. A su vez, los días 4 y 5 de junio asistí a distintas actividades institucionales en la ciudad de Lima.;PERÚ;SERRANO Marcos Sebastián;Subprocurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Universidad Católica de Santa María (UCSM);2024-06-03;2024-06-09
X Congreso Nacional e Internacional de Derecho Administrativo de la Asociación Peruana de Derecho Administrativo y la UCSM. A su vez, los días 4 y 5 de junio asistí a distintas actividades institucionales en la ciudad de Lima.;PERÚ;BARRA Rodolfo Carlos;Procurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Universidad Católica de Santa María (UCSM);2024-06-03;2024-06-09
Primera reunión de coordinación ARCAL RLA5090;PARAGUAY;Malter Terrada Mariana;Jefa Departamento Aplicaciones Agropecuarias;Comisión Nacional de Energía Atómica;OIEA;2024-04-28;2024-05-04
REUNION DIRECTORIO EJECUTIVO;BOLIVIA;PEREZ SILVIA;DIRECTOR NACIONAL;Dirección Nacional de Financiamiento con Organismos Regionales de Crédito;FONPLATA;2024-06-10;2024-06-13
Government Analytics Fellowship;ESTADOS UNIDOS;Amendolaggine Julián;Director Nacional de Financiamiento con Organismos Internacionales de Crédito;Ministerio de Economía;Banco Mundial;2024-05-26;2024-06-07
SEIMINARIO REGIONAL DE PROYECTO COLIBRÍ, FORTALECIMIENTO DE LA COOPERACION ENTRE LOS ORGANISMOS DE APLICACIÓN DE LA LEY Y LOS SERVICIOS DE INVESTIGACION CRIMINAL ORGANIZACIÓN MUNDIAL DE ADUANAS – UNION EUROPEA;PARAGUAY;BORRO MAURO LEANDRO JESUS;PREFECTO;PREFECTURA NAVAL ARGENTINA;WORLD CUSTOM ORGANIZATION;2024-06-03;2024-06-07
Conferencia de Alto Nivel Navegando la transición climática justa en un contexto macroeconómico de bajo crecimiento: El papel fundamental de los Ministerios de Hacienda;BRASIL;Andrin Jorge Emmanuel;Consultor 1(contrato 1109);Ministerio de Economía;CEPAL;2024-06-09;2024-06-12
Encuentro del Comité de Ética del CIAT;URUGUAY;Alasia Horacio;Subdirector General;Subdirección General de Auditoría Interna;CIAT;2024-05-19;2024-05-24
CONGRESO LATINOAMERICANO DE TRANSFORMACIÓN DIGITAL;MÉXICO;OZORES JUAN MARTIN;INTERVENTOR;Ente Nacional de Comunicaciones;INSTITUTO FEDERAL DE TELECOMUNICACIONES;2024-06-04;2024-06-07
REUNIÓN DE LANZAMIENTO DE LA INICIATIVA RESPUESTA ESPECIAL MARÍTIMO FLUVIAL DEL GRUPO SEACOP – ATLÁNTICO SUR;PARAGUAY;ZAMPA MARTIN RUBEN;JEFE CENTRAL REUNION DE INFORMACIÓN;Prefectura Naval Argentina;SEAPORT COOPERATION PROJECT (SEACOP);2024-06-04;2024-06-08
REUNIÓN DE LANZAMIENTO DE LA INICIATIVA RESPUESTA ESPECIAL MARÍTIMO FLUVIAL DEL GRUPO SEACOP – ATLÁNTICO SUR;PARAGUAY;CANCA GOTUSSO DIEGO VALENTINO;JEFE DELEGACIÓN DE INTELIGENCIA CRIMINAL E INVESTIGACIONES DE LA PREFECTURA DE ZONA BAJO PARANÁ;Prefectura Naval Argentina;SEAPORT COOPERATION PROJECT (SEACOP);2024-06-04;2024-06-08
Capacitación sobre buques de alto riesgo para investigadores de delitos de pesca.;URUGUAY;APABLAZA CARLOS DAMIAN;JEFE DEPARTAMENTO POLICÍA AUXILILAR PESQUERA;Prefectura Naval Argentina;INTERPOL;2024-06-02;2024-06-07
Capacitación sobre buques de alto riesgo para investigadores de delitos de pesca.;URUGUAY;SANTILLAN PABLO DARIO;ENCARGADO DIRECCION DE TRAFICO MARITIMO, FLUVIAL Y LACUSTRE;Prefectura Naval Argentina;INTERPOL;2024-06-02;2024-06-07
Capacitación sobre buques de alto riesgo para investigadores de delitos de pesca.;URUGUAY;GONZALEZ WALTER EZEQUIEL;PREFECTO;Prefectura Naval Argentina;INTERPOL;2024-06-02;2024-06-07
TALLER TÉCNICO PROMOVIDO POR LA ORGANIZACIÓN PANAMERICANA DE LA SALUD/ORGANIZACIÓN MUNDIAL DE LA SALUD (OPS/OMS) EN LA REGIÓN AMAZÓNICA Y DARIÉN SOBRE ACTIVIDADES DE VIGILANCIA E INVESTIGACIÓN DE PATÓGENOS ZOONÓTICOS EMERGENTES CON IMPORTANCIA PARA L;BRASIL;ARONOWICZ TATIANA;VETERINARIA;Servicio Nacional de Sanidad y Calidad Agroalimentaria;OPS/OMS;2024-06-02;2024-06-06
Misión de Observación Electoral Internacional Presencial;MÉXICO;LANDIVAR MARIA LUZ ALEGRIA;DIRECTORA NACIONAL;Ministerio del Interior;TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACIÓN;2024-05-28;2024-06-03
SIMPOSIO INTERNACIONAL DE SEGURIDAD ALIMENTARIA Y CONTROL;AUSTRIA;DALTO YESICA MAGALI;INVESTIGADORA;Comisión Nacional de Energía Atómica;IAEA;2024-05-25;2024-06-02
Taller: Elementos Clave para la Gestión Exitosa de las Administraciones Integradas de Aduanas y Tributos Internos;PARAGUAY;Raspa Sabrina Soledad;Jefa de División;Subdirección General de Control Aduanero;Departamento de Finanzas Públicas (FAD) del Fondo Monetario Internacional (FMI);2024-05-07;2024-05-11
“8º TALLER DE LA OMM SOBRE EL IMPACTO DE DIVERSOS SISTEMAS DE OBSERVACIÓN EN LA PREDICCIÓN NUMÉRICA DEL TIEMPO (NWP) Y EN LA PREDICCIÓN DEL SISTEMA TERRESTRE (ESP)”;SUECIA;Maldonado Paula Soledad;Investigador de Aplicación Científica con orientación en Modelado Numérico;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Oranizacion Meteorologica Mundial;2024-05-14;2024-06-01
Reunión Técnica de la Plataforma Regional de cambio Climático de Ministerios de Hacienda Economía y Finanzass;CHILE;Andrin Jorge Emmanuel;Consultor 1 - contrato 1109;MEC;BID;2024-05-15;2024-05-20
Elementos Clave para la Gestión Exitosa de las Administraciones Integradas por Aduanas y Tributos Internos;PARAGUAY;LOPEZ DE MUNAIN EXEQUIEL MATIAS;JEFE DE DIVISION DE SEGUIMIENTO DE LA GESTION INSTITUCIONAL;Administración Federal de Ingresos Públicos;FMI;2024-05-07;2024-05-11
"DIALOGO REGIONAL DE POLITICA ""APRENDIZAJES DESDE LA AMAZONIA: ESTRATEGIAS INNOVADORAS "" 2024";BRASIL;THOMAS JOSE MANUEL;SECRETARIO GENERAL;Secretaría General del Consejo Federal de Educación;BANCO INTERAMERICANO DE DESARROLLO;2024-06-02;2024-06-05
Reunión técnica de la Plataforma Regional de Cambio Climático de Ministerios de Hacienda Economía y Finanzas.;CHILE;Pinkasz Juan;Consultor 1 - contrato 1109;MEC;BID;2024-05-15;2024-05-20
Curso Avanzado en Políticas de Seguridad Marítima (MSP 2024);ESTADOS UNIDOS;OTERO FLORENCIA;Oficial abogada de la Dirección de Policía de Seguridad de la Navegación;MINISTERIO DE SEGURIDAD;Centro de Estudios de Defensa Hemisférica William J. Perry;2024-05-11;2024-05-26
Seminario Protección Integral ante las Nuevas Amenazas en el Contexto Marítimo;PERÚ;LOPEZ DALILA GISEL;OFICIAL DIVISIÓN INTELIGENCIA MARÍTIMA;Prefectura Naval Argentina;SEAPORT COOPERATION PROJECT (SEACOP);2024-05-12;2024-05-16
XXXVII Congreso Argentino de Psiquiatría-Las depresiones y los suicidios: una mirada clínica.;ARGENTINA;GONZALEZ LILIANA GRACIELA;Directora Nacional de Abordaje Integral de Salud Mental y Consumos Problemáticos;MINISTERIO DE SALUD;Asociación de Psiquiatras de Argentina;2024-04-17;2024-04-19
CURSO DE GESTIÓN DE FUENTES HUMANAS Y USO DE PLATAFORMAS ENCRIPTADAS;ESPAÑA;DONAMARIA AGUSTIN IGNACIO CATRIEL;OFICIAL PRINCIPAL;Prefectura Naval Argentina;GOBIERNO DEL REINO DE ESPAÑA.;2024-05-18;2024-05-26
